Total Enrolment in Mainstream National Schools for the 2024/2025 school year (enrolment is as of 30th September 2024),,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year (Enrolment),Roll Number,Official Name,Address (Line 1),Address (Line 2),Address (Line 3),Address (Line 4),County Description,Eircode,School Latitude,School Longitude,School Planning Area,Email,Phone No.,Principal Name,Local Authority Description,School Type,School Level,DEIS (Y/N),Irish Classification Description,Gaeltacht Indicator (Y/N),Island (Y/N),Ethos Description,Patron,Female,Male,Enrolment per Return
2024,14339S,AUGHAVAS NS,Aughavas,Carrigallen,Co.Leitrim,,Leitrim,H12YY74,53.954477,-7.718276,Carrigallen,aughavasns@gmail.com,0719636326,Séamus Tiernan,Leitrim County Council,Ordinary,All Through,Y,No subjects through Irish,N,N,Catholic,Bishop of Ardagh & Clonmacnoise,15,21,36
2024,14348T,CARRICKLECK N S,Carrickleck,Kingscourt,Co. Meath,,Meath,A82XK71,53.874533,-6.764391,Bailieborough,carrickleckns@gmail.com,0429667746,Jackie Ward,Meath County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Meath,12,14,26
2024,14356S,LISANISKEY N S,Ballymacfarrane,Donamon,Co. Roscommon,,Roscommon,F42K226,53.658792,-8.339169,Roscommon,info@lisaniskeyns.com,0906662730,Noel Dervan,Roscommon County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Elphin,53,54,107
2024,14366V,LOUGHFOUDER N S,Knocknagoshel,Tralee,Co. Kerry,,Kerry,V92NR44,52.286014,-9.359826,Castleisland,loughfouderns1@gmail.com,06846500,Mrs Elizabeth Lane,Kerry County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Kerry,11,10,21
2024,14377D,S N CILL CONAILL,Corraneena,Kilconnell,Ballinasloe,Co. Galway,Galway,H53T205,53.331107,-8.40325,Ballinasloe,stgabriels.ias@eircom.net,0909686820,Denise Clancy,Galway County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Clonfert,34,24,58
2024,14383V,S N PADRAIG NAOFA,Ballaghlea,Ballygar,Co. Galway,,Galway,F42KC56,53.511997,-8.386797,Ballygar,info@ballaghleans.ie,0906660255,Anne Marie Farrell,Galway County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Elphin,42,62,104
2024,14386E,STONEPARK N S,Stonepark,Co. Longford,,,Longford,N39T925,53.694511,-7.820375,Longford_Newtownforbes,info@stoneparkns.ie,0433346036,Micheál O'Sullivan,Longford County Council,Ordinary,All Through,Y,No subjects through Irish,N,N,Catholic,Bishop of Ardagh & Clonmacnoise,114,125,239
2024,14394D,S N CILL FHEICIN,Rakerin,Gort,Co. Galway,,Galway,H91VE28,53.068971,-8.782757,Gort,office@kilbeacantyns.ie,091632382,Bryan Keely,Galway County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,"Bishop of Galway, Kilmacduagh & Kilfenora",28,38,66
2024,14398L,GLEBE NS,Church Hill,Wicklow Town,Co. Wicklow,,Wicklow,A67X782,52.982938,-6.046745,Wicklow,glebewicklow@gmail.com,040468310,Sandra Bryan,Wicklow County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Church Of Ireland,Archbishop of Dublin & Bishop of Glendalough COI,98,109,207
2024,14399N,KILLYGARRY N S,Killygarry,Co. Cavan,,,Cavan,H12AX85,53.986319,-7.305629,Cavan,info@killygarryns.ie,0494362144,Serena Prior,Cavan County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Kilmore,105,99,204
2024,14409N,SCOIL NEASSAIN,Mungret,Co. Limerick,,,Limerick,V94FY29,52.630938,-8.668375,Limerick City,principal@stnessans.ie,061229911,Marie McKeogh,Limerick County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Limerick,346,319,665
2024,14420B,S N NAOMH PADRAIG,Gorteennaglogh,Renvyle,Co. Galway,,Galway,H91FT73,53.592374,-9.970672,Clifden,office@tullyschool.com,09543627,Barbara Warbout,Galway County Council,Ordinary,All Through,Y,No subjects through Irish,N,N,Catholic,Archbishop of Tuam,9,21,30
2024,14421D,S N ARD,Aird Thiar,Carna,Co. na Gaillimhe,,Galway,H91H9W9,53.326752,-9.874676,Carna,snardthiar@gmail.com,0872212977,Bríd Ní Mhaoilchiaráin,Galway County Council,Ordinary,All Through,Y,All subjects through Irish,Y,N,Catholic,Archbishop of Tuam,12,5,17
2024,14426N,KNOCKAVILLA N S,Killenure,Dundrum,Co. Tipperary,,Tipperary,E34TY07,52.544613,-8.003851,Cashel,knockavillans@gmail.com,06271533,Aoife Tierney,Tipperary (Sr) County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Archbishop of Cashel & Emly,75,67,142
2024,14430E,DERRYCREHA N S,Derrycreha,Glengarriff,Co. Cork,,Cork,P75YD52,51.737841,-9.509991,Bantry,derrycrehans@gmail.com,02763143,Mark Lynch,Cork County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Cork & Ross,16,11,27
2024,14433K,ABBEYSTREWRY N S,Castletownsend Road,Skibbereen,Co. Cork,,Cork,P81X386,51.540951,-9.261174,Skibereen,office@abbeyns1.ie,02821261,Jean Fuller,Cork County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Church Of Ireland,"Bishop of Cork, Cloyne & Ross COI",81,58,139
2024,14448A,CLOUGHANOWER N S,Cloughanover,Headford,Co. Galway,,Galway,H91K2X0,53.445623,-9.095292,Headford,cloughanoverschool@gmail.com,09335315,Paul Brett,Galway County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Archbishop of Tuam,41,31,72
2024,14450K,ST FEIGHANS MXD N S,Fore,Castlepollard,Co. Westmeath,,Westmeath,N91D958,53.677434,-7.222348,Castlepollard,forens.ias@eircom.net,0449666181,Monica Fanning,Westmeath County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Meath,54,43,97
2024,14460N,KILLEA N S,Killea,Templemore,Co. Tipperary,,Tipperary,E41HW20,52.828921,-7.870905,Templemore,office@killeans.ie,050431939,Mary Kennedy,Tipperary (Nr) County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Archbishop of Cashel & Emly,8,6,14
2024,14463T,ST COLUMBAS N S MXD,Waterloo Avenue,North Strand,Dublin 3,,Dublin,D03NH34,53.358725,-6.24227,Drumcondra_Marino_Dublin1,principal@stcolumbasns.com,018556805,Emma Walkin,Dublin City Council,Ordinary,All Through,N,No subjects through Irish,N,N,Church Of Ireland,Archbishop of Dublin & Bishop of Glendalough COI,37,54,91
2024,14468G,KILMALEY N S,Kilmaley,Ennis,Co. Clare,,Clare,V95CF30,52.820326,-9.109975,Ennis,kns@kilmaleyns.ie,0656839360,Leonard McNamara,Clare County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Killaloe,45,53,98
2024,14476F,WANDESFORDE MIXED N S,Castlecomer,Co. Kilkenny,,,Kilkenny,R95HT21,52.805109,-7.207922,Castlecomer,info@wandesforde.ie,0564441517,Susan Peavoy,Kilkenny County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Church Of Ireland,"Bishop of Cashel, Ferns & Ossory COI",24,35,59
2024,14492D,CURRACLOE N S,Curracloe,Enniscorthy,Co. Wexford,,Wexford,Y21W628,52.392665,-6.391877,Wexford,info@curracloens.ie,0539137283,Emer McCrea,Wexford County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Ferns,35,52,87
2024,14497N,S N B CURNANOOL,Cornanool,Castlebar,Co. Mayo,,Mayo,F23W820,53.852247,-9.357249,Castlebar,eolas@cornanoolns.ie,0949026569,Dermot Walsh,Mayo County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Archbishop of Tuam,29,36,65
2024,14502D,SCOIL MHUIRE B&C,Na Doirí Beaga,Leitir Ceanainn,Co. Dhún na nGall,,Donegal,F92NN82,55.076411,-8.284932,Gweedore,scoilmhuirebc@gmail.com,0749531557,John McGeever,Donegal County Council,Ordinary,All Through,Y,All subjects through Irish,Y,N,Catholic,Bishop of Raphoe,38,53,91
2024,14534Q,GORTJORDAN N S,Kilmaine,Claremorris,Co. Mayo,,Mayo,F31YV48,53.549221,-9.153869,Headford,gortjordanns@gmail.com,09333470,Erica Gibbons,Mayo County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Archbishop of Tuam,5,6,11
2024,14556D,South City CNS,Whitefriar Street,Dublin 8,,,Dublin,D08FW29,53.34035,-6.267161,Dublin_8,office@southcitycns.cdetb.ie,014757566,Mary Marren,Dublin City Council,Ordinary,All Through,Y,No subjects through Irish,N,N,Multi Denominational,City of Dublin Education and Training Board ,83,78,161
2024,14571W,TOMGRANEY N S,Tuamgraney,Co. Clare,,,Clare,V94R9F8,52.897867,-8.541216,Scariff,info@tuamgraneyns.ie,061921550,Marie Moroney,Clare County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Killaloe,31,15,46
2024,14578N,SCOIL NAOMH FAINCHE,School Lane,Collon,Co. Louth,,Louth,A92WV96,53.776784,-6.483049,Ardee,collonnationalschool@gmail.com,0419826594,Anne-Marie Martin,Louth County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Archbishop of Armagh,93,98,191
2024,14586M,CARYSFORT NS,Convent Road,Blackrock,Co. Dublin,,Dublin,A94Y516,53.297103,-6.183043,Booterstown_Blackrock,office@carysfortns.ie,012885803,Norma Linehan,Dun Laoghaire Rathdown,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Archbishop of Dublin,321,267,588
2024,14590D,AINBHTHIN NAOFA,Rosscahill East,Rosscahill,Co. Galway,,Galway,H91VK31,53.390684,-9.248033,Oughterard,info@stannins.ie,091550316,Pádraig Ó Duinneacha,Galway County Council,Ordinary with Special Classes,All Through,N,No subjects through Irish,N,N,Catholic,"Bishop of Galway, Kilmacduagh & Kilfenora",116,137,253
2024,14622N,EIDHNEACH N S,Carrowkeel,Inagh,Co. Clare,,Clare,V95C2C9,52.87753,-9.177661,Ennis,office@inaghschool.ie,0656836778,Caroline McGeary,Clare County Council,Ordinary with Special Classes,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Killaloe,67,94,161
2024,14625T,DOON CONVENT N S,Doon,Co. Limerick,,,Limerick,V94CV48,52.602937,-8.245235,Doon_Cappamore,conventns@gmail.com,061380149,Derek Walsh,Limerick County Council,Ordinary with Special Classes,All Through,N,No subjects through Irish,N,N,Catholic,Archbishop of Cashel & Emly,91,31,122
2024,14631O,SCOIL CHOLMCHILLE,Ballymena,Glengad,Malin,Co. Donegal,Donegal,F93N663,55.321094,-7.181961,Carndonagh,glengadns@gmail.com,0749379211,Mary Harkin,Donegal County Council,Ordinary,All Through,Y,No subjects through Irish,N,N,Catholic,Bishop of Derry,35,43,78
2024,14636B,CARRAROE N S,Tonafortes,Carraroe,Co. Sligo,,Sligo,F91DC67,54.244718,-8.474882,Sligo,office@sne.ie,0719161843,Roy Mitchell,Sligo County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Elphin,171,232,403
2024,14642T,S N MHUIRE,Fiddaun,Ardrahan,Co. Galway,,Galway,H91D263,53.169049,-8.757708,Gort,secretary@ballyglassns.com,091635424,Nicola Lynskey,Galway County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,"Bishop of Galway, Kilmacduagh & Kilfenora",34,26,60
2024,14643V,S N na Cloiche Moire,Ballyraggan,Rathvilly,Co. Kildare,,Kildare,R93KP89,52.905956,-6.750897,Baltinglass,office@bigstonens.ie,0599161171,Aoife Byrne,Kildare County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Kildare & Leighlin,8,13,21
2024,14647G,DALKEY N S (2),Harbour Road,Dalkey,Co. Dublin,,Dublin,A96RR04,53.281579,-6.103027,Dunlaoghaire,principal@stpatricks2.ie,012803647,Rachel Dolan,Dun Laoghaire Rathdown,Ordinary,All Through,N,No subjects through Irish,N,N,Church Of Ireland,Archbishop of Dublin & Bishop of Glendalough COI,46,55,101
2024,14650S,CLOONTAGH MIXED N S,Cloontagh,Killashee,Co. Longford,,Longford,N39RF60,53.636844,-7.894271,Lanesboro,principal@cloontaghns.ie,0433325450,Leonie Beirne,Longford County Council,Ordinary,All Through,Y,No subjects through Irish,N,N,Catholic,Bishop of Ardagh & Clonmacnoise,4,10,14
2024,14651U,CASTLETOWN RD CONVENT,Castletown Road,Dundalk,Co. Louth,,Louth,A91P957,54.010765,-6.405139,Dundalk,castletowngs@gmail.com,0429334574,Lisa Murphy,Louth County Council,Ordinary,All Through,Y,No subjects through Irish,N,N,Catholic,Archbishop of Armagh,185,,185
2024,14668O,BALLAGHKEENE N S,The Ballagh,Enniscorthy,Co. Wexford,,Wexford,Y21K577,52.481409,-6.42867,Enniscorthy,secretary@ballaghkeenens.ie,0539136500,Darren Nolan,Wexford County Council,Ordinary with Special Classes,All Through,Y,No subjects through Irish,N,N,Catholic,Bishop of Ferns,52,90,142
2024,14672F,COLEHILL MIXED N S,Colehill,Co. Longford,,,Longford,N39HK27,53.597493,-7.678502,Ballymahon,scoilsinneach@gmail.com,0449357466,Brenda Lavelle,Longford County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Ardagh & Clonmacnoise,47,56,103
2024,14679T,S N Baile an Bhuitléirigh,Butlerstown,Co. Waterford,,,Waterford,X91KF85,52.223001,-7.180223,Waterford,office@butlerstownschool.com,051384304,Maria O'Connor,Waterford County Council,Ordinary with Special Classes,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Waterford & Lismore,108,131,239
2024,14684M,AUGHRIM N S,Hillstreet,Carrick-on-Shannon,Co. Roscommon,,Roscommon,N41EY63,53.871786,-8.122423,Elphin,jfaughnan81@hotmail.com,0719635596,John Faughnan,Roscommon County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Elphin,22,8,30
2024,14704P,MURROE NATIONAL SCHOOL,Murroe,Dunfanaghy,Co. Donegal,,Donegal,F92HT32,55.15365,-8.011519,Falcarragh,murroenationalschool@gmail.com,0749136702,Anne Sweeney,Donegal County Council,Ordinary with Special Classes,All Through,Y,No subjects through Irish,N,N,Catholic,Bishop of Raphoe,20,27,47
2024,14712O,SN AN FHAIRCHE,An Fháirche,via Clár Chlainne Mhuiris,Co. na Gaillimhe,,Galway,F12DW65,53.54495,-9.364152,Cornamona,snanfhairche@gmail.com,0860254229,Bridie Seoighe,Galway County Council,Ordinary,All Through,N,All subjects through Irish,Y,N,Catholic,Archbishop of Tuam,36,29,65
2024,14717B,RATHGAR N S,Rathgar Avenue,Dublin 6,,,Dublin,D06DK35,53.314068,-6.27544,Dublin6_Clonskeagh,rathgarns@rathgarns.ie,014907661,Ivan Pearson,Dublin City Council,Ordinary,All Through,N,No subjects through Irish,N,N,Methodist,Conference of Methodist Church in Ireland,46,48,94
2024,14724V,SCOIL RONAIN,Oileán Trá Bhán,Leitir Móir,Co. na Gaillimhe,,Galway,H91E8Y0,53.240764,-9.653105,Carraroe,scoilronain2010@gmail.com,091551345,Áine Ní Fhlatharta,Galway County Council,Ordinary,All Through,Y,All subjects through Irish,Y,N,Catholic,Archbishop of Tuam,15,7,22
2024,14726C,KINSALE N S,Knocknabohilly,Kinsale,Co. Cork,,Cork,P17AF10,51.70998,-8.514473,Kinsale,principal@stmultosens.ie,0214774106,Acting Principal Margie Hadden,Cork County Council,Ordinary with Special Classes,All Through,N,No subjects through Irish,N,N,Church Of Ireland,"Bishop of Cork, Cloyne & Ross COI",30,24,54
2024,14732U,SCOIL BHRIDE,Mountnugent,Co. Cavan,,,Cavan,A82WV61,53.81504,-7.253323,Ballyjamesduff,mountnugentnationalschool@gmail.com,0498540390,Jane Browne,Cavan County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Meath,47,46,93
2024,14767Q,AGHACASLA N S,Aughacasla South,Camp,Tralee,,Kerry,V92Y312,52.234162,-9.974615,Castlegregory,info@aughacaslans.com,0667139456,David Doyle,Kerry County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Kerry,59,53,112
2024,14777T,KILMYSHALL N S,Kilmyshall,Bunclody,Co. Wexford,,Wexford,Y21E726,52.627309,-6.656,Bunclody,kilmyshallns1970@gmail.com,0539377451,Andrea Rigley,Wexford County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Ferns,59,83,142
2024,14784Q,DUNMANWAY BOYS SENIOR NATIONAL SCHOOL,Dunmanway,Co. Cork,,,Cork,P47YF85,51.722045,-9.107441,Dunmanway,office@scoilphadraigdunmanway.ie,0238845458,Gráinne Ní Shúilleabháin,Cork County Council,Ordinary,Senior,N,No subjects through Irish,N,N,Catholic,Bishop of Cork & Ross,,90,90
2024,14791N,CAPPAWHITE N S,Cappagh,Cappawhite,Co. Tipperary,,Tipperary,E34V598,52.583856,-8.164698,Doon_Cappamore,cappawhitens2@gmail.com,06275363,Áine Morrow,Tipperary (Sr) County Council,Ordinary with Special Classes,All Through,Y,No subjects through Irish,N,N,Catholic,Archbishop of Cashel & Emly,62,67,129
2024,14808E,IRISHTOWN N S,Claremorris,Co. Mayo,,,Mayo,F12XV30,53.662573,-8.89026,Claremorris,irishtownnsmayo@gmail.com,0949364559,Seán Ó Raghallaigh,Mayo County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Archbishop of Tuam,30,34,64
2024,14813U,ROSCARBERY CON N S,Ardagh East,Rosscarbery,Co. Cork,,Cork,P85VP86,51.583401,-9.024693,Roscarbery,stmarysnsross@gmail.com,0238848023,Sarah O'Brien,Cork County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Cork & Ross,77,34,111
2024,14816D,SCOIL LACHTAIN NAOFA,Cill na Martra,Maigh Chromtha,Co. Chorcaí,,Cork,P12AY06,51.899681,-9.088088,Ballyvorney,scoil.cillnamartra@gmail.com,02640000,Mary Uí Ríordáin,Cork County Council,Ordinary,All Through,N,All subjects through Irish,Y,N,Catholic,Bishop of Cloyne,39,44,83
2024,14829M,Scoil San Eoin,Redcross,Co. Wicklow,,,Wicklow,A67VY99,52.887343,-6.146428,Arklow,lgreeneredcross@gmail.com,040441727,Linda Greene,Wicklow County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Archbishop of Dublin,25,19,44
2024,14830U,BAREFIELD MIXED N S,Barefield,Ennis,Co. Clare,,Clare,V95FD28,52.890609,-8.943889,Ennis,info@barefieldns.com,0656820303,Gerard Ruane,Clare County Council,Ordinary with Special Classes,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Killaloe,206,193,399
2024,14837L,S N PEADAR AGUS POL,Ballon,Co. Carlow,,,Carlow,R93WE29,52.738424,-6.768875,Tullow,ballonns1@gmail.com,0599159280,Mary Carroll,Carlow County Council,Ordinary with Special Classes,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Kildare & Leighlin,125,125,250
2024,14838N,MARYBORO N S,Summerhill,The Downs,Portlaoise,Co. Laois,Laois,R32HY24,53.030697,-7.284239,Portlaoise,office@maryboroughnationalschool.ie,0578632019,Brid Ann Buggie,Laois County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Church Of Ireland,"Bishop of Cashel, Ferns & Ossory COI",49,44,93
2024,14839P,CLONDROHID N S,Clondrohid,Macroom,Co. Cork,,Cork,P12KN66,51.928974,-9.021435,Macroom,clondrohid@gmail.com,02661800,Jim Lucey,Cork County Council,Ordinary with Special Classes,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Cloyne,121,148,269
2024,14863M,ACHILL SOUND CONVENT NS,The Points,"Achill Sound,",Achill,"Westport,",Mayo,F28ER26,53.92887,-9.928592,Achill,principal@achillsoundns.ie,09845705,Laura Edel McGinty,Mayo County Council,Ordinary with Special Classes,All Through,Y,Some subjects through Irish,Y,N,Catholic,Archbishop of Tuam,8,6,14
2024,14873P,DOOKINELLA N.S.,Low River,Dookinella,Keel,Co. Mayo,Mayo,F28RF79,53.974858,-10.04472,Achill,principal@dookinellans.ie,09843322,Kathleen Smyth,Mayo County Council,Ordinary,All Through,Y,No subjects through Irish,N,N,Catholic,Archbishop of Tuam,17,11,28
2024,14898I,DRUMEELA N S,Drumeela,Carrigallen PO,Co. Leitrim,,Leitrim,H12XA02,54.014422,-7.648162,Carrigallen,drumeelans@gmail.com,0494333305,Edel McCartin,Leitrim County Council,Ordinary,All Through,Y,No subjects through Irish,N,N,Catholic,Bishop of Kilmore,11,16,27
2024,14900P,GUSSERANE N S,Gusserane,New Ross,Co. Wexford,,Wexford,Y34HV08,52.308351,-6.859686,Ramsgrange,gusseranens@gmail.com,051564031,Adeline Foxe,Wexford County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Ferns,43,32,75
2024,14903V,ST JOSEPHS N S,Kilmuckridge,Gorey,Co. Wexford,,Wexford,Y25Y952,52.508698,-6.288393,Kilmuckridge,stjosephspskilmuckridge@gmail.com,0539130144,Cornelius Hourihane,Wexford County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Ferns,102,103,205
2024,14909K,ST LEONARDS N S,St. Leonards,Ballycullane,New Ross,Co. Wexford,Wexford,Y34KP84,52.259629,-6.804218,Ramsgrange,stleonardsns@gmail.com,051562570,Caitriona McGrath,Wexford County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Ferns,56,56,112
2024,14910S,St Mary's National School,Castlefinn,Lifford,,,Donegal,F93FD92,54.803256,-7.595142,Stranorlar,secretary@stmarysnscastlefinn.com,0749146206,Sharon Murray,Donegal County Council,Ordinary with Special Classes,All Through,Y,No subjects through Irish,N,N,Catholic,Bishop of Derry,77,74,151
2024,14917J,ZION PARISH PRIMARY SCHOOL,Bushy Park Road,Rathgar,Dublin 6,,Dublin,D06K062,53.307955,-6.274683,Dublin6_Clonskeagh,office@zionparishschool.ie,014910065,Andrea Black,Dublin City Council,Ordinary,All Through,N,No subjects through Irish,N,N,Church Of Ireland,Archbishop of Dublin & Bishop of Glendalough COI,46,51,97
2024,14925I,S N NAOMH EOIN,Ballinameen,Boyle,Co. Roscommon,,Roscommon,F52W662,53.901859,-8.307702,Boyle,office@ballinameenns.ie,0719668344,Cora Nevin,Roscommon County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Elphin,30,18,48
2024,14939T,RATHFARNHAM PARISH N S,Washington Lane,Rathfarnham,Dublin 14,,Dublin,D14X051,53.293399,-6.303439,Rathfarnham,principal@rpns.ie,014943470,Eoin Leonard,South Dublin County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Church Of Ireland,Archbishop of Dublin & Bishop of Glendalough COI,109,111,220
2024,14941G,RAY N S,Ray,Manorcunningham,Co. Donegal,,Donegal,F92YY86,54.937802,-7.61768,Letterkenny,office@rayns.net,0749157364,Tracy Doran,Donegal County Council,Ordinary,All Through,Y,No subjects through Irish,N,N,Church Of Ireland,Bishop of Derry & Raphoe COI,32,28,60
2024,14952L,MUIRE GAN SMAL,Old Chapel Lane,Castleisland,Co. Kerry,,Kerry,V92P803,52.229514,-9.459415,Castleisland,info@muiregansmal.ie,0667141147,Seamus Moynihan,Kerry County Council,Ordinary with Special Classes,All Through,Y,No subjects through Irish,N,N,Catholic,Bishop of Kerry,73,44,117
2024,14966W,KILTEEVAN N S,Kilteevan,Co. Roscommon,,,Roscommon,F42YY76,53.635528,-8.114908,Roscommon,kilteevannsoffice@gmail.com,0906625936,Colette Brennan,Roscommon County Council,Ordinary,All Through,Y,No subjects through Irish,N,N,Catholic,Bishop of Elphin,16,20,36
2024,14972R,ALL SAINTS NATIONAL SCHOOL,Main Street,Carnew,Co. Wicklow,,Wicklow,Y14YY46,52.709785,-6.49989,Carnew,school@allsaintsnscarnew.com,0539426513,Andrea McAssey,Wicklow County Council,Ordinary,All Through,Y,No subjects through Irish,N,N,Church Of Ireland,"Bishop of Cashel, Ferns & Ossory COI",15,13,28
2024,14980Q,GLASNEVIN N S,Botanic Avenue,Glasnevin,Dublin 9,,Dublin,D09TW63,53.372597,-6.267463,Cabra_Phibsboro_D7,secretary.gns@gmail.com,018373727,Olive Walsh,Dublin City Council,Ordinary,All Through,N,No subjects through Irish,N,N,Church Of Ireland,Archbishop of Dublin & Bishop of Glendalough COI,31,55,86
2024,14987H,S N AN CHLOCHAN,An Clochán,Co. Chiarraí,,,Kerry,V92YP27,52.237191,-10.180907,Castlegregory,snchlochain@gmail.com,0667138292,Rachel Ní Bhuchalla,Kerry County Council,Ordinary,All Through,N,All subjects through Irish,Y,N,Catholic,Bishop of Kerry,19,32,51
2024,14989L,PASSAGE EAST N S,Crooke,Passage East,Co. Waterford,,Waterford,X91TX29,52.231679,-6.973947,Waterford,office@passageeastns.ie,051382509,Philip O Leary,Waterford County Council,Ordinary with Special Classes,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Waterford & Lismore,44,60,104
2024,14993C,S N Rae na nDoiri,Rae na nDoirí,Maigh Chromtha,Co. Chorcaí,,Cork,P12D738,51.900946,-9.161064,Ballyvorney,reidhnandoiri2@gmail.com,02645441,Cian Ó Duinnín,Cork County Council,Ordinary,All Through,N,All subjects through Irish,Y,N,Catholic,Bishop of Cloyne,10,11,21
2024,14998M,LYRE A CROMPANE N S,Glashanacree,Lyracrompane,Co. Kerry,,Kerry,V31P996,52.354696,-9.485829,Listowel,principal@lyrecns.ie,06848233,Eilish Lyons,Kerry County Council,Ordinary,All Through,Y,No subjects through Irish,N,N,Multi Denominational,Kerry ETB,16,10,26
2024,15004P,SCOIL ASICUS,Golf Course Road,Strandhill,Co. Sligo,,Sligo,F91V003,54.267204,-8.601897,Sligo,office@strandhillnationalschool.ie,0719168154,Joseph Fogarty,Sligo County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Elphin,132,123,255
2024,15008A,SHRONELL N S,Lattin,Co. Tipperary,,,Tipperary,E34KH30,52.470389,-8.250067,Tipperary,shronellns.ias@gmail.com,06255189,Orla Hickey,Tipperary (Sr) County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Archbishop of Cashel & Emly,28,26,54
2024,15014S,CORCLOUGH NS,Corclough West,Belmullet,Co. Mayo,,Mayo,F26RW94,54.254479,-10.039912,Belmullet,corcloughns2@gmail.com,09782381,Aishling Carey,Mayo County Council,Ordinary,All Through,Y,Some subjects through Irish,Y,N,Catholic,Bishop of Killala,33,46,79
2024,15027E,S N na hEaglaise,Ahascragh,Ballinasloe,Co. Galway,,Galway,H53TN20,53.39331,-8.287885,Ballinasloe,eglishprimaryschool@gmail.com,0909688874,Keith Kelly,Galway County Council,Ordinary,All Through,Y,No subjects through Irish,N,N,Catholic,Bishop of Elphin,32,32,64
2024,15030Q,ST MARYS N S,Aghamore,Ballyhaunis,Co. Mayo,,Mayo,F35X728,53.825907,-8.820271,Ballyhaunis,aghamorens.ias@gmail.com,0949367597,Ann-Marie McCormack,Mayo County Council,Ordinary,All Through,Y,No subjects through Irish,N,N,Catholic,Archbishop of Tuam,40,55,95
2024,15033W,S N TREASA NAOFA MXD,Castletown,Kilflynn,Co. Kerry,,Kerry,V92X735,52.353746,-9.627266,Causeway,knschool@gmail.com,0667135633,Nora Falvey,Kerry County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Kerry,54,53,107
