Total Enrolment in Special Schools for the 2023/2024 school year (enrolment is as of 30th September 2023),,,,,,,,,,,,,,,,,,,,,,,,
Academic Year (Enrolment),Roll Number,Official Name,Address (Line 1),Address (Line 2),Address (Line 3),Address (Line 4),County Description,Eircode,School Latitude,School Longitude,School Planning Area,Email,Phone No.,Principal Name,Local Authority Description,DEIS (Y/N),Irish Classification Description,Gaeltacht Indicator (Y/N),Island (Y/N),Ethos Description,Patron,Female,Male,Total
2023,19757P,ST MICHAELS SPEC SCH,Hacketstown,Skerries,Co. Dublin,,Dublin,K34XE38,53.565479,-6.111903,Skerries,principalsmhskerries@gmail.com,018490976,Karen Byrne,Fingal County Council,N,No subjects through Irish,N,N,Catholic,St Michael's House,9,21,30
2023,19759T,ST MARYS SPEC SCH,Rochestown,Cork,,,Cork,T12PV05,51.860541,-8.381758,Passage West,info@stmarysrochestown.com,0214891431,Kerri Hollywell,Cork City Council,N,No subjects through Irish,N,N,Catholic,Brothers of Charity (Southern Services) Brother John O'Shea,20,52,72
2023,19760E,SCOIL TRIEST,LOTA,GLANMIRE,,,Cork,T23W920,51.908605,-8.399916,Riverstown_Glanmire,info@scoiltriest.ie,0214556284,MR JERRY RYAN,Cork City Council,N,No subjects through Irish,N,N,Catholic,Brothers of Charity (Southern Services) Brother John O'Shea,14,58,72
2023,19773N,ST NICHOLAS SPEC SCH,BALLINA,CO MAYO,,,Mayo,F26AV20,54.117561,-9.166615,Ballina,stnicholasspecialschool@gmail.com,09622768,Clare Vesey- Brennan,Mayo County Council,N,No subjects through Irish,N,N,Catholic,Western Care Association,7,17,24
2023,19788D,ST KEVINS SCHOOL,The Rectory,Infirmary Road,Cork,,Cork,T12DH58,51.893241,-8.466208,Glasheen_CorkCity,yepcork.ias@eircom.net,0214966647,Eric Dunne Magner,Cork City Council,N,No subjects through Irish,N,N,Catholic,Bishop of Cork & Ross,2,14,16
2023,19789F,SCOIL MICHEAL NAOFA,Roselawn Drive,Castlerea,Co. Roscommon,,Roscommon,F45TR63,53.764877,-8.486531,Castlerea,stmichaelsroscommon@gmail.com,0949620523,Bernadette Finnerty,Roscommon County Council,N,No subjects through Irish,N,N,Catholic,Bishop of Elphin,28,49,77
2023,19792R,ST BRIGIDS SPEC SCH,Harbour Street,Mullingar,Co. Westmeath,,Westmeath,N91DH97,53.528822,-7.344153,Mullingar,stbrigids.principal@gmail.com,0449342354,Mrs Joanne Jordan,Westmeath County Council,N,No subjects through Irish,N,N,Catholic,Bishop of Meath,44,36,80
2023,19819L,ST L O TOOLES 2 SPEC,Aldborough Parade,North Strand,Dublin 1,,Dublin,D01P978,53.355049,-6.244974,Drumcondra_Marino_Dublin1,grealyn@gmail.com,018552991,Nuala Grealy,Dublin City Council,N,No subjects through Irish,N,N,Catholic,Archbishop of Dublin,3,17,20
2023,20010O,ST ROSES SPECIAL SCHOOL,Balrothery,Tallaght,Tallaght,Dublin 24,Dublin,D24ND90,53.292556,-6.345958,Tallaght,office@stroses.ie,014517933,Anne Marie Kealy,South Dublin County Council,N,No subjects through Irish,N,N,Catholic,Archbishop of Dublin,29,34,63
2023,20021T,HENRIETTA STREET SCHOOL,Henrietta Street,Dublin 1,,,Dublin,D01W825,53.352819,-6.270523,Drumcondra_Marino_Dublin1,fcarpenter@doccs.ie,018874127,Fergus Carpenter,Dublin City Council,N,No subjects through Irish,N,N,Catholic,Archbishop of Dublin,6,14,20
2023,20028K,SETANTA SPECIAL SCHOOL,Limekiln Road,Greenhills,Dublin 12,,Dublin,D12VY8A,53.305056,-6.328394,Dolphin's Barn_D12,principal@setantaschool.ie,012884594,Loman Ó Loingsigh,South Dublin County Council,N,No subjects through Irish,N,N,Catholic,Health Service Executive,13,52,65
2023,20053J,CHEEVERSTOWN SP SCH,Templeogue,Dublin 6w,,,Dublin,D6WRT92,53.294246,-6.314331,Dublin_6w,uhorkan@cheeverstown.ie,014993749,Una Horkan,South Dublin County Council,N,No subjects through Irish,N,N,Catholic,Cheeverstown School Company limited by guarantee,9,17,26
2023,20070J,ROSEDALE SCHOOL,WOODLANDS CENTRE,RENMORE,GALWAY,,Galway,H91PC96,53.279736,-9.027274,Galway City,rosedaleschool@bocsi.ie,091779600,Breda OConnell,Galway City Council,N,No subjects through Irish,N,N,Catholic,"Bishop of Galway, Kilmacduagh & Kilfenora",28,47,75
2023,20074R,ST GABRIELS SPECIAL SCHOOL,"Murphy's Farm,","Curraheen Rd.,","Bishopstown,",Cork.,Cork,T12EK57,51.878522,-8.536957,Glasheen_CorkCity,secretary@stgab.ie,0214544068,David Thomas,Cork City Council,N,No subjects through Irish,N,N,Catholic,Brothers of Charity (Southern Services) Brother John O'Shea,14,28,42
2023,20099K,OFFALY SCHOOL OF SPECIAL EDUCATION,Kilcruttin Business Park,Tullamore,Co. Offaly,,Offaly,R35H9N4,53.269615,-7.497567,Tullamore_Killina,info@osse.ie,0579320537,Edmund Graham,Offaly County Council,N,No subjects through Irish,N,N,Catholic,Bishop of Meath,12,28,40
2023,20100P,THE KOLBE SPECIAL SCHOOL,Block Road,Portlaoise,Co. Laois,,Laois,R32XD63,53.0336,-7.2749,Portlaoise,kolbeschool100@gmail.com,0578620329,Orlagh Mahon,Laois County Council,N,No subjects through Irish,N,N,Catholic,"Sisters of Charity of Jesus and Mary, Moore Abbey",12,31,43
2023,20117J,ST CANICES SPECIAL SCHOOL,COOVAGH HOUSE,ST JOSEPH'S GROUNDS,MULGRAVE ST,CO LIMERICK,Limerick,V94FY91,52.655148,-8.612158,Limerick City,canices@gmail.com,061461011,Liam Rimmer,Limerick City Council,N,No subjects through Irish,N,N,Catholic,HSE,4,6,10
2023,20119N,CORK UNIVERSITY HOS SCHOOL,Children's Ward,Wilton,Cork,,Cork,T12DC4A,51.883364,-8.510529,Glasheen_CorkCity,scoilcuh@hotmail.com,0214346450,Gobnait Curran,Cork City Council,N,No subjects through Irish,N,N,Multi Denominational,CEO of Cork University Hospital,10,7,17
2023,20121A,CARMONA SPECIAL NATIONAL SCHOOL,111 Upper Glenageary Road,Dun Laoghaire,Co. Dublin,,Dublin,A96NY91,53.280365,-6.135112,Dunlaoghaire,yvewilliams@carmonaschool.com,012353591,Marie Burke,Dun Laoghaire Rathdown,N,No subjects through Irish,N,N,Catholic,Archbishop of Dublin,18,21,39
2023,20136N,CRANNOG NUA SPECIAL SCHOOL,Crannóg Nua Special School,Portrane,Co. Dublin,,Dublin,K36TY03,53.491007,-6.115328,Donabate,lindahalpin@ddletb.ie,019213000,Linda Halpin,Fingal County Council,N,No subjects through Irish,N,N,Other/Unknown,Dublin & Dún Laoghaire ETB,4,2,6
2023,20153N,ST JOSEPH'S ADOLESCENT SCHOOL,St Vincent;s Hospital,Richmond Road,Dublin 3,,Dublin,D03HN80,53.365063,-6.245201,Drumcondra_Marino_Dublin1,principal@stjosephsadolescentschool.ie,018842476,Michael O'Brien,Dublin City Council,N,No subjects through Irish,N,N,Catholic,Archbishop of Dublin,9,4,13
2023,20154P,BEAUMONT HOSPITAL SPECIAL SCHOOL,St. Raphael's Ward,Beaumont Hospital,Dublin 9,,Dublin,D09DK19,53.392043,-6.22435,Beaumont_CoolockD5,info@beaumonthospitalschool.ie,018086028,Avril Carey,Dublin City Council,N,No subjects through Irish,N,N,Other/Unknown,City of Dublin ETB,2,1,3
2023,20162O,SONAS SPECIAL PRIMARY JUNIOR SCHOOL,Carrigaline Education Campus,Ardnacloghy,Co. Cork,,Cork,P43EF95,51.825579,-8.400147,Carrigaline,admin@sonascork.ie,0214373164,Bairbre Doyle,Cork County Council,N,No subjects through Irish,N,N,Other/Unknown,Brothers of Charity (Southern Services) Brother John O'Shea,11,37,48
2023,20234N,THE CHILDRENS ARK,Midwestern Regional Hospital,Dooradoyle,Limerick,,Limerick,V94YVH0,52.635869,-8.653332,Limerick City,childrensarkschool@hse.ie,061485303,Olive Dillon,Limerick City Council,N,No subjects through Irish,N,N,Multi Denominational,Health Service Executive,19,6,25
2023,20279M,St Michael's House Special National School Foxfield,Briarfield Villas,Greendale Road,Kilbarrack,Dublin 5,Dublin,D05AT26,53.387052,-6.159799,Killester_Raheny_Clontarf,principal@foxfieldsmh.ie,018325009,Kari Bray-Kelly,Dublin City Council,N,No subjects through Irish,N,N,Multi Denominational,St Michael's House,13,40,53
2023,20311F,Red Hill School,Red Hill,Patrickswell,Co. Limerick,,Limerick,V94Y7W6,52.616459,-8.686033,Limerick City,secretary@redhillschool.ie,061215760,Elaine Benson Ryan,Limerick City Council,N,No subjects through Irish,N,N,Other/Unknown,The Rehab Group ,12,50,62
2023,20328W,St. Teresa's Special School,c/o Ballinasloe Enterprise Centre,Creagh Road,Ballinalsoe,Co Galway,Galway,H53NW54,53.338242,-8.202522,Ballinasloe,info@stteresas.ie,0909643934,Anita O'Reilly,Galway County Council,N,No subjects through Irish,N,N,Other/Unknown,Ability West,14,31,45
2023,20329B,Tígh Nan Dooley Child Education and Development Centre,An Cheathrú Rua,Co na Gaillimhe,,,Galway,H91P5K2,53.264067,-9.599682,Carraroe,scoiltnd@gmail.com,091595129,Peigí Ní Chonghaile,Galway County Council,N,No subjects through Irish,Y,N,Other/Unknown,Ability West,8,8,16
2023,20330J,St. Oliver's Child Education and Development Centre,The Glebe,Tuam,Co Galway,,Galway,H54KX77,53.511141,-8.848148,Tuam,marietanolan@stoliversschool.ie,09324402,Marieta Nolan,Galway County Council,N,No subjects through Irish,N,N,Other/Unknown,Ability West,13,23,36
2023,20331L,Scoil Aisling,Boreenmanna Road,Cork,,,Cork,T12TF85,51.892011,-8.453656,Ballintemple_CorkCity,scoilaislinn@gmail.com,0214961367,Clare Vernon,Cork City Council,N,No subjects through Irish,N,N,Other/Unknown,COPE Foundation ,7,29,36
2023,20354A,Cara Junior School,Cara Junior School,Banduff Road,Mayfield,Cork,Cork,T23TA12,51.917077,-8.426176,Riverstown_Glanmire,office@carajs.ie,0214643060,Colette Butler,Cork City Council,N,No subjects through Irish,N,N,Catholic,Brothers of Charity (Southern Services) Brother John O'Shea,18,54,72
2023,20370V,Saplings Carlow Special School,Killeshin,Carlow,,,Carlow,R93P2X3,52.849256,-6.99372,Carlow,yvonne.abbey@saplings.org,0599147570,Kerrie Wickham,Carlow County Council,N,No subjects through Irish,N,N,Multi Denominational,Sapling School Company Limited by Guarantee,1,29,30
2023,20371A,Ábalta Special School,Parkmore East Business Park,Parkmore,Galway,,Galway,H91V9K4,53.303413,-8.988349,Galway City,office@abaltaschool.ie,091701974,Maura Madden,Galway City Council,N,Some subjects through Irish,N,N,Multi Denominational,Irish Autism Action ,4,14,18
2023,20372C,Saplings Special School,Ballyroan Crescent,Rathfarnham,Dublin 16,,Dublin,D16YK88,53.284868,-6.301782,Rathfarnham,saplingsrathfarnham@saplings.org,014951620,Roman Przewoznik,Dun Laoghaire Rathdown,N,No subjects through Irish,N,N,Multi Denominational,Sapling School Company Limited by Guarantee,5,24,29
2023,20373E,Saplings Special School,Lynn Road,Mullingar,Co Westmeath,,Westmeath,N91V5TF,53.518491,-7.342188,Mullingar,siobhan.burley@saplings.org,0449384853,Siobhan Burley,Westmeath County Council,N,No subjects through Irish,N,N,Multi Denominational,Sapling School Company Limited by Guarantee,5,31,36
2023,20374G,ABACAS School,Drogheda ABACAS Special School,Congress Avenue,Drogheda,Co. Louth,Louth,A92TK52,53.70997,-6.352562,Drogheda,principal@droghedaabacas.com,0419803366,Michelle Mc Hugh,Louth County Council,N,Some subjects through Irish,N,N,Multi Denominational,Irish Autism Action ,6,25,31
2023,20375I,ABACAS Kilbarrack,c/o Scoil Eoin,Greendale Road,Kilbarrack,Dublin 5,Dublin,D05F8F8,53.386869,-6.157237,Killester_Raheny_Clontarf,principal@abacaskilbarrack.info,018394998,Laura Kelly,Dublin City Council,N,Some subjects through Irish,N,N,Multi Denominational,Irish Autism Action ,11,43,54
2023,20376K,Saplings Special School,Main Street,Kill,Co Kildare,,Kildare,W91VF90,53.249922,-6.587638,Naas,Alan.Brennan@saplings.org,045878760,Alan Brennan,Kildare County Council,N,No subjects through Irish,N,N,Multi Denominational,Sapling School Company Limited by Guarantee,4,26,30
2023,20377M,Saplings Special School,Goresbridge,Co Kilkenny,,,Kilkenny,R95D2N2,52.629559,-6.996463,Borris,principal.kilkenny@saplings.org,0599775750,Sandra Wickham,Kilkenny County Council,N,No subjects through Irish,N,N,Multi Denominational,Sapling School Company Limited by Guarantee,1,11,12
2023,20378O,ABACAS Special School for Children with Autism,Treepark Road,Kilnamanagh,Dublin 24,,Dublin,D24A2XF,53.300607,-6.357688,Tallaght,abacasspecialschool@gmail.com,014599585,Lesley Brant,South Dublin County Council,N,Some subjects through Irish,N,N,Multi Denominational,Irish Autism Action ,3,27,30
2023,20379Q,Stepping Stones Special School,Stepping Stones Special School,Moyglare Road,Maynooth,Co. Kildare,Kildare,W23HC66,53.384548,-6.596452,Maynooth,info@steppingstonesschool.ie,016856498,Dolores Cullinane,Kildare County Council,N,Some subjects through Irish,N,N,Multi Denominational,Irish Autism Action ,2,28,30
2023,20380B,Jonah Special School,Old V.E.C. Building,Slieverue,Co. Kilkenny,,Kilkenny,X91D6DY,52.282433,-7.069006,Waterford,thejonahproject@hotmail.com,051833269,Caitríona Barry,Kilkenny County Council,N,Some subjects through Irish,N,N,Multi Denominational,Irish Autism Action ,,12,12
2023,20381D,Red Door Special School,Monkstown Grove,Monkstown Avenue,Monkstown,Co. Dublin,Dublin,A94D3H7,53.287264,-6.154967,Dunlaoghaire,principal@thereddoorschool.com,016637532,Conan Byrne,Dun Laoghaire Rathdown,N,No subjects through Irish,N,N,Other/Unknown,Irish Autism Action ,5,25,30
2023,20390E,Ballydowd High Support Special School,1 Lucan Road,Yellow Walls,Ballyowen,Palmerstown,Dublin,D20EW44,53.356463,-6.405672,Lucan,paulsloan@ballydowdschool.ie,0851441849,Paul Sloan,South Dublin County Council,N,No subjects through Irish,N,N,Inter Denominational,Dublin & Dún Laoghaire ETB,2,4,6
2023,20495S,Holy Family School for the Deaf,Navan Road,Cabra,Dublin 7,,Dublin,D07TH79,53.365283,-6.30442,Cabra_Phibsboro_D7,info@holyfamilydeafschool.ie,018380058,Eimear O'Rourke,Dublin City Council,N,No subjects through Irish,N,N,Catholic,Archbishop of Dublin,70,68,138
2023,20548N,Danu Community Special School,Blanchardstown Road North,Blanchardstown,,Dublin 15,Dublin,D15P380,53.401924,-6.379346,Mulhuddart_Tyrrelstown_D15,patdoolan@danucss.ie,018270755,Patricia Doolan,Fingal County Council,N,No subjects through Irish,N,N,Multi Denominational,Dublin & Dún Laoghaire ETB,4,32,36
2023,20555K,Our Lady of Hope School,Armagh Road,Crumlin,Dublin 12,,Dublin,D12V6RK,53.320851,-6.306259,Dolphin's Barn_D12,principal@ourladyofhope.ie,014562279,Aran O'Dowd,Dublin City Council,N,No subjects through Irish,N,N,Catholic,Archbishop of Dublin,9,36,45
2023,20557O,Carrigaline Community Special School,Bridge Mount,Carrigaline,Co. Cork,,Cork,P43Y160,51.820514,-8.387098,Carrigaline,ccss@corketb.ie,0212038488,Colm Manley,Cork County Council,N,No subjects through Irish,N,N,Multi Denominational,Cork ETB,11,37,48
2023,20563J,Libermann Spiritan School,Templeville Road,Templeogue,Dublin 6,,Dublin,D6WNW94,53.304484,-6.313053,Dublin_6w,office@libermannschool.ie,0879827885,Vivienne Wynne,South Dublin County Council,N,No subjects through Irish,N,N,Catholic,Spiritan Education Trust,10,14,24
2023,20565N,Rochestown Community Special School,Garryduff Sports Centre,Garryduff,Cork City,,Cork,T12ER22,51.869149,-8.397431,South Suburbs_CorkCity,rcssoffice@corketb.ie,0212038414,Grace Hickey,Cork City Council,N,No subjects through Irish,N,N,Multi Denominational,"Cork ETB
",5,30,35
2023,20572K,An Cosan CSS,Fitzwilliam Place,Lower Grangegorman,Dublin 7,,Dublin,,TBC,TBC,TBC,info@ancosancss.cdetb.ie,0861913520,Mairéad O'Brien,Dublin City Council,N,No subjects through Irish,N,N,Multi Denominational,City of Dublin ETB,0,0,0
2023,20574O,East Cork Community Special School,East Cork Community Special School,C/O Carrigtwohill CNS,Station Road,Carrigtwohill,Cork,T45YY66,TBC,TBC,TBC,mary.lyons1@corketb.ie,0861913780,Mary Lyons,Cork County Council,N,No subjects through Irish,N,N,Multi Denominational,Cork ETB,0,0,0
,,,,,,,,,,,,,,,,,,,,Totals,,"3,083","6,243","9,326"
